Name,Title,Division
"DesRosiers, Jill",Executive Deputy Secretary,EXECUTIVE OPERATIONS
"Rivera, Jennifer",Assitant Secretary for Executive Operations,EXECUTIVE OPERATIONS
"Lowy, Penny",Appointments Secretary,EXECUTIVE OPERATIONS
"Turley, David",Director of Constituency Affairs,EXECUTIVE OPERATIONS
"Gutierrez, Julissa",Deputy Director of Constituency Affairs,EXECUTIVE OPERATIONS
"Owens, Kelli",Director of Women's Affairs,EXECUTIVE OPERATIONS
"Milbrun, Nika",Dep Dir Constituencies-African American/Women,EXECUTIVE OPERATIONS
"McPherson, Rachel",Director of Special Projects,EXECUTIVE OPERATIONS
"Cannon, Steve",Director of Special Events,EXECUTIVE OPERATIONS
"Walsh, Annabel",Director of Scheduling,EXECUTIVE OPERATIONS
"Dame, Katie",Deputy Director of Scheduling,EXECUTIVE OPERATIONS
"Scalzo, Jill",Deputy Director of Scheduling,EXECUTIVE OPERATIONS
"Streb, Molly",Assistant Director of Scheduling,EXECUTIVE OPERATIONS
"Howard, John",Director of Operations,EXECUTIVE OPERATIONS
"Sims, Reid",Deputy Director of Operations,EXECUTIVE OPERATIONS
"Darley, Jennifer",Deputy Director of Operations,EXECUTIVE OPERATIONS
"Hechehouche, Amine",Special Assistant,EXECUTIVE OPERATIONS
"Staudt, Quinn",Engagement,EXECUTIVE OPERATIONS
"Gumb, Derek",Special Assistant for Events & Advance,EXECUTIVE OPERATIONS
"Ryan, Robyn",Special Assistant for Operations,EXECUTIVE OPERATIONS
"Lloyd, Tiffany",Executive Assistant,EXECUTIVE OPERATIONS
"Vicinanza, John",Special Assistant,EXECUTIVE OPERATIONS
"Rabito, Joseph",Deputy Secretary for Intergovernmental Affairs,INTERGOVERNMENTAL
"Ball, Andrew",Assistant Secretary for Intergovernmental Affairs,INTERGOVERNMENTAL
"Paden, Sarah",Director of Downstate Affiairs and Organizing,INTERGOVERNMENTAL
"Kelly, Rochelle",Director of Downstate Intergovernmental Affairs,INTERGOVERNMENTAL
"Litke, Dawn",Executive Assistant,INTERGOVERNMENTAL
"Paul, Shirley",Special Assistant for Intergovernmental Affairs,INTERGOVERNMENTAL
"Hoare, Frank",Deputy Secretary for Legislative Affairs,INTERGOVERNMENTAL
"Rousseau, Joshua",Assistant Secretary for Legislative Affairs,INTERGOVERNMENTAL
"Barthel, Deirdre",Deputy Director of Legislative Affairs,INTERGOVERNMENTAL
"Layne, Christina",Special Assistant for Legislative Affairs,INTERGOVERNMENTAL
"Pennello, Matthew",Special Assistant for Legislative Affairs,INTERGOVERNMENTAL
"Montross, Kathy",Director of Correspondence Processing,CORRESPONDENCE
"Loneck, Heather",Deputy Director,CORRESPONDENCE
"Rakoczy, Larissa",Writer,CORRESPONDENCE
"Kramer, Mary",Writer,CORRESPONDENCE
"Agars, Sara",Assistant Director of Correspondence Processing,CORRESPONDENCE
"Reisinger, Elizabeth",Confidential Aide,CORRESPONDENCE
